(0.5,-3LYP))
(0.55,-3LYP))
(0.6,-3LYP))
(0.65,-3LYP))
(0.7,-3LYP))
(0.5,--1.08634562746472)
(0.55,--1.12307082122021)
(0.6,--1.14605900276687)
(0.65,--1.15906722393862)
(0.7,--1.16477585278724)
(0.5,-1.08634562746472)
(0.55,-1.12307082122021)
(0.6,-1.14605900276687)
(0.65,-1.15906722393862)
(0.7,-1.16477585278724)
(0.5,-1.16477585279)
(0.55,-1.16477585279)
(0.6,-1.16477585279)
(0.65,-1.16477585279)
(0.7,-1.16477585279)
%%%%%%% START
(0.5,-1.08634562746)
(0.55,-1.12307082122)
(0.6,-1.14605900277)
(0.65,-1.15906722394)
(0.7,-1.16477585279)
(0.7,-1.16477585279)
(0.75,-1.16513837666)
(0.8,-1.16159147854)
(0.85,-1.15519238346)
(0.9,-1.14671744069)
(0.95,-1.13673738133)
(1.0,-1.12567550950)
(1.05,-1.11385150821)
(1.1,-1.10151286151)
(1.15,-1.08885619460)
(1.2,-1.07604096647)
(1.25,-1.06319805036)
(1.3,-1.05043505069)
(1.35,-1.03783994678)
(1.4,-1.02548376558)
(1.45,-1.01342297296)
(1.5,-1.00170150101)
(1.55,-0.990352759969)
(1.6,-0.979401318896)
(1.65,-0.968864422222)
(1.7,-0.958753330922)
(1.75,-0.949074266558)
(1.8,-0.939829335312)
(1.85,-0.931017215426)
(1.9,-0.922633603326)
(1.95,-0.914671748154)
(2.0,-0.907122855449)
(2.1,-0.893220113879)
(2.2,-0.880825265209)
(2.3,-0.869824235740)
(2.4,-0.860097191451)
(2.5,-0.851524894342)
(2.6,-0.843993357261)
(2.7,-0.837396146388)
(2.8,-0.831635210724)
(2.9,-0.826620958811)
(3.0,-0.822271064570)
(3.1,-0.818510256203)
(3.2,-0.815269026115)
(3.3,-0.812483383395)
(3.4,-0.810094993132)
(3.5,-0.808050550380)
(3.6,-0.806301935586)
(3.7,-0.804806515366)
(3.8,-0.803526503435)
(3.9,-0.802428672979)
(4.0,-0.801484550904)
(4.1,-0.800669827055)
(4.2,-0.799963511363)
(4.3,-0.799347900928)
(4.4,-0.798808362813)
(4.5,-0.798332596298)
(4.6,-0.797910183169)
(4.7,-0.797532457321)
(4.8,-0.797192322182)
(4.9,-0.796883923930)
(5.0,-0.796602362708)
(5.1,-0.796343541041)
(5.2,-0.796103995623)
(5.3,-0.795880943351)
(5.4,-0.795672112813)
(5.5,-0.795475662926)
(5.6,-0.795289995455)
(5.7,-0.795113716203)
(5.8,-0.794945704502)
(5.9,-0.794785081588)
(6.0,-0.794631159933)
(6.0,-0.794631159933)
(7.0,-0.793360002176)
(8.0,-0.792414698993)
(9.0,-0.791679743996)
(10.0,-0.791091766940)
(11.0,-0.790610665486)
(12.0,-0.790209765452)
(13.0,-0.789870572449)
(14.0,-0.789579805936)
