(0.5,-1.05080141088)
(0.55,-1.08400623141)
(0.6,-1.10472133264)
(0.65,-1.11655417166)
(0.7,-1.12199495495)
(0.7,4)
(0.75,4)
(0.8,4)
(0.85,4)
(0.9,4)
(0.95,4)
(1.0,4)
(1.05,4)
(1.1,4)
(1.15,4)
(1.2,4)
(1.25,4)
(1.3,4)
(1.35,4)
(1.4,4)
(1.45,4)
(1.5,4)
(1.55,4)
(1.6,4)
(1.65,4)
(1.7,4)
(1.75,4)
(1.8,4)
(1.85,9.45D-05)
(1.9,9.82D-05)
(1.95,1.02D-04)
(2.0,1.05D-04)
(2.05,1.09D-04)
(2.1,1.12D-04)
(2.15,1.16D-04)
(2.2,1.19D-04)
(0.7,/usr/local/packages/gaussian/g16/l601.exe)
(0.75,/usr/local/packages/gaussian/g16/l601.exe)
(0.8,/usr/local/packages/gaussian/g16/l601.exe)
(0.85,/usr/local/packages/gaussian/g16/l601.exe)
(0.9,/usr/local/packages/gaussian/g16/l601.exe)
(0.95,/usr/local/packages/gaussian/g16/l601.exe)
(1.2,/usr/local/packages/gaussian/g16/l601.exe)
(1.25,/usr/local/packages/gaussian/g16/l601.exe)
(1.3,/usr/local/packages/gaussian/g16/l601.exe)
(1.35,/usr/local/packages/gaussian/g16/l601.exe)
(1.4,/usr/local/packages/gaussian/g16/l601.exe)
(1.45,/usr/local/packages/gaussian/g16/l601.exe)
(1.5,/usr/local/packages/gaussian/g16/l601.exe)
(1.55,/usr/local/packages/gaussian/g16/l601.exe)
(1.6,/usr/local/packages/gaussian/g16/l601.exe)
(1.65,/usr/local/packages/gaussian/g16/l601.exe)
(1.7,/usr/local/packages/gaussian/g16/l601.exe)
(1.75,/usr/local/packages/gaussian/g16/l601.exe)
(1.8,/usr/local/packages/gaussian/g16/l601.exe)
(1.85,-0.930744396486)
(1.9,-0.922866338928)
(1.95,-0.915220324823)
(2.0,-0.907804967920)
(2.05,-0.900618022022)
(2.1,-0.893656583049)
(2.15,-0.886917264840)
(2.2,-0.880396346355)
(0.7,-1.12199495545)
(0.75,-1.12279503573)
(0.8,-1.12021281809)
(0.85,-1.11517234994)
(0.9,-1.10836349530)
(0.95,-1.10030503605)
(1.2,-1.05183854764)
(1.25,-1.04167191864)
(1.3,-1.03154819079)
(1.35,-1.02151086620)
(1.4,-1.01159327689)
(1.45,-1.00182166356)
(1.5,-0.992217128201)
(1.55,-0.982796828562)
(1.6,-0.973574695365)
(1.65,-0.964561872953)
(1.7,-0.955767017266)
(1.75,-0.947196533755)
(1.8,-0.938854800503)
(1.85,-0.104D-04)
(1.9,-0.110D-04)
(1.95,-0.115D-04)
(2.0,-0.120D-04)
(2.1,-0.128D-04)
(2.2,-0.135D-04)
(2.3,-0.140D-04)
(2.4,-0.143D-04)
(2.0,-0.907804967920)
(2.1,-0.893656583049)
(2.2,-0.880396346355)
(2.3,-0.867993835549)
(2.4,-0.856416453710)
(2.5,-0.845631353034)
(2.6,-0.835606289471)
(2.7,-0.826309792582)
(2.8,-0.817710935778)
(2.9,-0.809778908214)
(3.0,-0.802482539193)
(3.1,-0.795789892288)
(3.2,-0.789668011475)
(3.3,-0.784082860321)
(3.4,-0.778999453967)
(3.5,-0.774382151320)
(3.6,-0.770195056673)
(3.7,-0.766402475944)
(3.8,-0.762969378914)
(3.9,-0.759861830357)
(4.0,-0.757047365504)
(4.1,-0.754495296347)
(4.2,-0.752176943711)
(4.3,-0.750065795889)
(4.4,-0.748137598300)
(4.5,-0.746370380927)
(4.6,-0.744744431529)
(4.7,-0.743242223308)
(4.8,-0.741848305990)
(4.9,-0.740549169174)
(5.0,-0.739333086465)
(5.1,-0.738189948258)
(5.2,-0.737111090176)
(5.3,-0.736089123126)
(5.4,-0.735117769785)
(5.5,-0.734191711172)
(5.6,-0.733306445814)
(5.7,-0.732458163019)
(5.8,-0.731643630848)
(5.9,-0.730860098713)
(6.0,-0.730105213924)
(6.0,-0.730075884205)
(7.0,-0.723761187695)
(8.0,-0.719037804753)
(9.0,-0.715364300912)
(10.0,-0.712425479162)
(11.0,-0.710020974209)
(12.0,-0.708017210090)
(13.0,-0.706321710244)
(14.0,-0.704868419332)
(15.0,-0.703608896570)
(16.0,-0.702506811103)
(17.0,-0.701534380373)
(18.0,-0.700669995622)
(19.0,-0.699896597234)
(20.0,-0.699200537464)
(21.0,-0.698570768101)
(22.0,-0.697998249671)
(23.0,-0.697475514763)
(24.0,-0.696996340517)
(25.0,-0.696555499720)
(26.0,-0.696148569335)
(27.0,-0.695771781583)
(28.0,-0.695421906932)
(29.0,-0.695096161299)
(30.0,-0.694792131807)
(31.0,-0.694507716917)
(32.0,-0.694241077777)
(33.0,-0.693990598426)
(34.0,-0.693754853014)
(35.0,-0.693532578643)
(36.0,-0.693322652737)
(37.0,-0.693124074076)
(38.0,-0.692935946835)
(39.0,-0.692757467063)
(40.0,-0.692587911208)
(41.0,-0.692426626303)
(42.0,-0.692273021572)
(43.0,-0.692126561193)
(44.0,-0.691986758055)
(45.0,-0.691853168343)
(46.0,-0.691725386839)
